[07-29 16:50:44]1,Short Sword, Character ID:3
[07-29 16:50:44]1377,Common Rebel Sword, Character ID:3
[07-29 16:50:44]1378,Fiery Sword of Darkan, Character ID:3
[07-29 16:50:44]1379,Heavy Sword, Character ID:3
[07-29 16:50:44]1380,Vehemence Sword, Character ID:3
[07-29 16:50:44]1381,Protector Sword, Character ID:3
[07-29 16:50:44]1382,Invader Sword, Character ID:3
[07-29 16:50:44]1383,Soul Sword of Darkan, Character ID:3
[07-29 16:50:44]1384,Winds of Death, Character ID:3
[07-29 16:50:44]1385,Wings of Death, Character ID:3
[07-29 16:50:44]1386,Enhanced Rebel Sword, Character ID:3
[07-29 16:50:44]1387,Rustle Sword, Character ID:3
[07-29 16:50:44]1388,Short Blade, Character ID:3
[07-29 16:50:44]1389,Light Sword, Character ID:3
[07-29 16:50:44]1390,Fine Blade, Character ID:3
[07-29 16:50:44]1391,Emerald Blade, Character ID:3
[07-29 16:50:44]1392,Steel Saber, Character ID:3
[07-29 16:50:44]1393,Hymn Sword of Darkan, Character ID:3
[07-29 16:50:44]1394,Sword of Dawn, Character ID:3
[07-29 16:50:44]1395,Small Steel Sword, Character ID:3
[07-29 16:50:44]1396,Common Steel Sword, Character ID:3
[07-29 16:50:44]1397,Assassin Sword, Character ID:3
[07-29 16:50:44]1398,Tribal Sword, Character ID:3
[07-29 16:50:44]1399,Amber Sword, Character ID:3
[07-29 16:50:44]1400,Mini Bow, Character ID:2
[07-29 16:50:44]1401,Common Bow, Character ID:2
[07-29 16:50:44]1402,Tribal Short Bow, Character ID:2
[07-29 16:50:44]1403,Shikar Bow, Character ID:2
[07-29 16:50:44]1404,Soldier Bow, Character ID:2
[07-29 16:50:44]1405,Marksman Bow, Character ID:2
[07-29 16:50:44]1406,Old Firegun, Character ID:2
[07-29 16:50:44]1407,Enhanced Firegun, Character ID:2
[07-29 16:50:44]1408,Pocket Pistol, Character ID:2
[07-29 16:50:44]1409,Battle Rifle, Character ID:2
[07-29 16:50:44]1410,Holy Judgment, Character ID:2
[07-29 16:50:44]1411,Kiss of the Serpent, Character ID:2
[07-29 16:50:44]1412,Lightning Taser, Character ID:2
[07-29 16:50:44]1413,Steel Pistol, Character ID:2
[07-29 16:50:44]1414,Spectar Firegun, Character ID:2
[07-29 16:50:44]1415,Small Dagger, Character ID:2
[07-29 16:50:44]1416,Impact Spike, Character ID:2
[07-29 16:50:44]1417,Dagger of Ripple, Character ID:2
[07-29 16:50:44]1418,Comet Spike, Character ID:2
[07-29 16:50:44]1419,Blade of Torment, Character ID:2
[07-29 16:50:44]1420,Venom Soul Spike, Character ID:2
[07-29 16:50:44]1421,Tooth of Fury, Character ID:2
[07-29 16:50:44]1422,Piercing Dagger, Character ID:2
[07-29 16:50:44]1423,Guerrilla Dagger, Character ID:2
[07-29 16:50:44]1424,Sword of Ripple, Character ID:2
[07-29 16:50:44]1425,Quartz Dagger, Character ID:2
[07-29 16:50:44]1426,Nightmare Dagger, Character ID:2
[07-29 16:50:44]1427,Blessed Staff, Character ID:1
[07-29 16:50:44]1428,Battle Staff, Character ID:1
[07-29 16:50:44]1429,Arcane Staff, Character ID:1
[07-29 16:50:44]1430,Wand of Holiness, Character ID:1
[07-29 16:50:44]1431,Feral Wand, Character ID:1
[07-29 16:50:44]1432,Staff of Thunderbolt, Character ID:1
[07-29 16:50:44]1433,Hearten Wand, Character ID:1
[07-29 16:50:44]1434,Fine Stave, Character ID:1
[07-29 16:50:44]1435,Scholar Stave, Character ID:1
[07-29 16:50:44]1436,Vehemence Stave, Character ID:1
[07-29 16:50:44]1437,Restraining Staff, Character ID:1
[07-29 16:50:44]1438,Fury Staff, Character ID:1
[07-29 16:50:44]1439,Staff of Wrath, Character ID:1
[07-29 16:50:44]1440,Elegant Staff, Character ID:1
[07-29 16:50:44]1441,Staff of Gaia, Character ID:1
[07-29 16:50:44]1442,Tears of Angel, Character ID:1
[07-29 16:50:44]1443,Thesis Dagger, Character ID:2
[07-29 16:50:44]1444,Bandit Spike, Character ID:2
[07-29 16:50:44]1445,Dagger of Haste, Character ID:2
[07-29 16:50:44]1446,Spike of Feint, Character ID:2
[07-29 16:50:44]1447,Pirate Dagger, Character ID:2
[07-29 16:50:44]1448,Sovereign Kris, Character ID:2
[07-29 16:50:44]1449,Clarity Dagger, Character ID:2
[07-29 16:50:44]1450,Sharp Blade, Character ID:2
[07-29 16:50:44]1451,Light Dagger, Character ID:2
[07-29 16:50:44]1452,Refined Dagger, Character ID:2
[07-29 16:50:44]1460,Gemmed Dagger, Character ID:2
[07-29 16:50:44]1461,Cursed Dagger, Character ID:2
[07-29 16:50:44]1462,Arcane Branch, Character ID:1
[07-29 16:50:44]1463,Thick Stave, Character ID:1
[07-29 16:50:44]1464,Ceremonial Staff, Character ID:1
[07-29 16:50:44]1465,Brilliance Wand, Character ID:1
[07-29 16:50:44]1466,Wand of Vigor, Character ID:1
[07-29 16:50:44]1467,Protector Staff, Character ID:1
[07-29 16:50:44]1468,Staff of High Priest, Character ID:1
[07-29 16:50:44]1469,Grained Stave, Character ID:1
[07-29 16:50:44]1470,Enhanced Stave, Character ID:1
[07-29 16:50:44]1471,Beautiful Stave, Character ID:1
[07-29 16:50:44]1472,Staff of Endeavor, Character ID:1
[07-29 16:50:44]1473,Staff of Flame, Character ID:1
[07-29 16:50:44]1474,Staff of Sun, Character ID:1
[07-29 16:50:44]1475,Spiritual Staff, Character ID:1
[07-29 16:50:44]1476,Staff of Binding, Character ID:1
[07-29 16:50:44]1477,Eye of Sorrow, Character ID:1
[07-29 16:50:44]1884,Undead Sealed Armor of Revenant, Character ID:3
[07-29 16:50:44]1885,Earth Sealed Tattoo of the Cursed Warrior, Character ID:3
[07-29 16:50:44]1886,Fire Sealed Tattoo of Evanescence, Character ID:3
[07-29 16:50:44]1887,Ice Sealed Tattoo of Enigma, Character ID:3
[07-29 16:50:44]1888,Earth Sealed Platemail of the Cursed Soul, Character ID:3
[07-29 16:50:44]1889,Fire Sealed Armor of Evanescence, Character ID:3
[07-29 16:50:44]1890,Ice Sealed Armor of Enigma, Character ID:3
[07-29 16:50:44]1891,Undead Sealed Sword of Grief, Character ID:3
[07-29 16:50:44]1892,Earth Sealed Greatsword of Incantation, Character ID:3
[07-29 16:50:44]1893,Fire Sealed Roar of Evanescence, Character ID:3
[07-29 16:50:44]1894,Ice Sealed Judgment of Enigma, Character ID:3
[07-29 16:50:44]1895,Earth Sealed Blade of Incantation, Character ID:3
[07-29 16:50:44]1896,Fire Sealed Dance of Evanescence, Character ID:3
[07-29 16:50:44]1897,Ice Sealed Blade of Enigma, Character ID:3
[07-29 16:50:44]1898,Undead Sealed Robe of Death, Character ID:2
[07-29 16:50:44]1899,Earth Sealed Corset of Incantation, Character ID:2
[07-29 16:50:44]1900,Fire Sealed Coat of Evanescence, Character ID:2
[07-29 16:50:44]1901,Ice Sealed Mantle of Enigma, Character ID:2
[07-29 16:50:44]1902,Undead Sealed Touch of Death, Character ID:2
[07-29 16:50:44]1903,Earth Sealed Kiss of the Cursed, Character ID:2
[07-29 16:50:44]1904,Fire Sealed Bellow of Evanescence, Character ID:2
[07-29 16:50:44]1905,Ice Sealed Rifle of Enigma, Character ID:2
[07-29 16:50:44]1906,Undead Sealed Staff of the Avenger, Character ID:1
[07-29 16:50:44]1907,Earth Sealed Staff of Incantation, Character ID:1
[07-29 16:50:44]1908,Fire Sealed Staff of Evanescence, Character ID:1
[07-29 16:50:44]1909,Ice Sealed Staff of Enigma, Character ID:1
[07-29 16:50:44]1910,Undead Sealed Robe of the Venom Witch, Character ID:1
[07-29 16:50:44]1911,Earth Sealed Coat of Invocation, Character ID:1
[07-29 16:50:44]1912,Fire Sealed Robe of the Arcane, Character ID:1
[07-29 16:50:44]1913,Ice Sealed Robe of Enigma, Character ID:1
[07-29 16:50:44]1914,Earth Sealed Staff of Abraxas, Character ID:1
[07-29 16:50:44]1915,Fire Sealed Staff of Mirage, Character ID:1
[07-29 16:50:44]1916,Ice Sealed Staff of the Sphinx, Character ID:1
[07-29 16:50:44]1917,Earth Sealed Robe of Abraxas, Character ID:1
[07-29 16:50:44]1918,Fire Sealed Robe of Malediction, Character ID:1
[07-29 16:50:44]1919,Ice Sealed Robe of the Sphinx, Character ID:1
[07-29 16:50:44]1920,Undead Sealed Tooth of Specter, Character ID:2
[07-29 16:50:44]1921,Earth Sealed Tooth of the Cursed, Character ID:2
[07-29 16:50:44]1922,Fire Sealed Tooth of Evanescence, Character ID:2
[07-29 16:50:44]1923,Ice Sealed Kris of the Sphinx, Character ID:2
[07-29 16:50:44]1924,Undead Sealed Mantle of the Naga, Character ID:2
[07-29 16:50:44]1925,Earth Sealed Mantle of the Cursed Flame, Character ID:2
[07-29 16:50:44]1926,Fire Sealed Cloak of Evanescence, Character ID:2
[07-29 16:50:44]1927,Ice Sealed Mantle of the Sphinx, Character ID:2
[07-29 16:50:44]1928,Battle Armor of Crimson Flame, Character ID:3
[07-29 16:50:44]1929,Battle Armor of the Tempest, Character ID:3
[07-29 16:50:44]1930,Battle Armor of Sistine, Character ID:3
[07-29 16:50:44]1931,Battle Armor of the Kylin, Character ID:3
[07-29 16:50:44]1932,Battle Armor of Nature, Character ID:3
[07-29 16:50:44]1933,Tattoo of Gallon, Character ID:3
[07-29 16:50:44]1934,Tattoo of the Tortoise, Character ID:3
[07-29 16:50:44]1935,Gauntlets of Crimson Flame, Character ID:3
[07-29 16:50:44]1936,Gauntlets of the Tempest, Character ID:3
[07-29 16:50:44]1937,Gauntlets of Sistine, Character ID:3
[07-29 16:50:44]1938,Gauntlets of the Kylin, Character ID:3
[07-29 16:50:44]1939,Greaves of Crimson Flame, Character ID:3
[07-29 16:50:44]1940,Greaves of the Tempest, Character ID:3
[07-29 16:50:44]1941,Greaves of Sistine, Character ID:3
[07-29 16:50:44]1942,Greaves of the Kylin, Character ID:3
[07-29 16:50:44]1943,Vest of Clarion Mist, Character ID:2
[07-29 16:50:44]1944,Flaming Coat, Character ID:2
[07-29 16:50:44]1945,Mantle of Darwin, Character ID:2
[07-29 16:50:44]1946,Coat of the White Tiger, Character ID:2
[07-29 16:50:44]1947,Gloves of Clarion Mist, Character ID:2
[07-29 16:50:44]1948,Flaming Gloves, Character ID:2
[07-29 16:50:44]1949,Gloves of Darwin, Character ID:2
[07-29 16:50:44]1950,Gloves of the White Tiger, Character ID:2
[07-29 16:50:44]1951,Boots of Clarion Mist, Character ID:2
[07-29 16:50:44]1952,Flaming Boots, Character ID:2
[07-29 16:50:44]1953,Boots of Darwin, Character ID:2
[07-29 16:50:44]1954,Boots of the White Tiger, Character ID:2
[07-29 16:50:44]1955,Emerald Vine Robe, Character ID:1
[07-29 16:50:44]1956,Coat of Frozen Crescent, Character ID:1
[07-29 16:50:44]1957,Coat of Udine, Character ID:1
[07-29 16:50:44]1958,Coat of the Peacock, Character ID:1
[07-29 16:50:44]1959,Glory Coat, Character ID:1
[07-29 16:50:44]1960,Coat of Hope, Character ID:1
[07-29 16:50:44]1961,Coat of the Phoenix, Character ID:1
[07-29 16:50:44]1962,Emerald Vine Gloves, Character ID:1
[07-29 16:50:44]1963,Gloves of Frozen Crescent, Character ID:1
[07-29 16:50:44]1964,Gloves of Udine, Character ID:1
[07-29 16:50:44]1965,Gloves of the Peacock, Character ID:1
[07-29 16:50:44]1966,Glory Gloves, Character ID:1
[07-29 16:50:44]1967,Gloves of Hope, Character ID:1
[07-29 16:50:44]1968,Gloves of the Phoenix, Character ID:1
[07-29 16:50:44]1969,Emerald Vine Boots, Character ID:1
[07-29 16:50:44]1970,Boots of Frozen Crescent, Character ID:1
[07-29 16:50:44]1971,Boots of Udine, Character ID:1
[07-29 16:50:44]1972,Boots of the Peacock, Character ID:1
[07-29 16:50:44]1973,Glory Boots, Character ID:1
[07-29 16:50:44]1974,Boots of Hope, Character ID:1
[07-29 16:50:44]1975,Boots of the Phoenix, Character ID:1
[07-29 16:50:44]1976,Robe of the Mist, Character ID:2
[07-29 16:50:44]1977,Coat of the Tempest, Character ID:2
[07-29 16:50:44]1978,Robe of Forlorn, Character ID:2
[07-29 16:50:44]1979,Coat of the Green Dragon, Character ID:2
[07-29 16:50:44]1980,Gloves of the Mist, Character ID:2
[07-29 16:50:44]1981,Gloves of the Tempest, Character ID:2
[07-29 16:50:44]1982,Gloves of Forlorn, Character ID:2
[07-29 16:50:44]1983,Gloves of the Green Dragon, Character ID:2
[07-29 16:50:44]1984,Boots of the Mist, Character ID:2
[07-29 16:50:44]1985,Boots of the Tempest, Character ID:2
[07-29 16:50:44]1986,Boots of Forlorn, Character ID:2
[07-29 16:50:44]1987,Boots of the Green Dragon, Character ID:2
[07-29 16:50:44]1988,Fire Sealed Gauntlets of Evanescence, Character ID:3
[07-29 16:50:44]1989,Fire Sealed Greaves of Evanescence, Character ID:3
[07-29 16:50:44]1990,Fire Sealed Gloves of Evanescence, Character ID:2
[07-29 16:50:44]1991,Fire Sealed Shoes of Evanescence, Character ID:2
[07-29 16:50:44]1992,Fire Sealed Gloves of Malediction, Character ID:1
[07-29 16:50:44]1993,Fire Sealed Gloves of the Arcane, Character ID:1
[07-29 16:50:44]1994,Fire Sealed Boots of Malediction, Character ID:1
[07-29 16:50:44]1995,Fire Sealed Boots of the of the Arcane, Character ID:1
[07-29 16:50:44]1996,Fire Sealed Heavy Gloves of Evanescence, Character ID:2
[07-29 16:50:44]1997,Fire Sealed Boots of Evanescence, Character ID:2
[07-29 16:50:44]1999,Lance Failed Hairdo 1, Character ID:2
[07-29 16:50:44]2000,Hairdo 1, Character ID:2
[07-29 16:50:44]2001,Hairdo 2, Character ID:2
[07-29 16:50:44]2002,Hairdo 3, Character ID:2
[07-29 16:50:44]2003,Hairdo 4, Character ID:2
[07-29 16:50:44]2004,Hairdo 5, Character ID:2
[07-29 16:50:44]2005,Hairdo 6, Character ID:2
[07-29 16:50:44]2006,Hairdo 7, Character ID:2
[07-29 16:50:44]2007,Hairdo 8, Character ID:2
[07-29 16:50:44]2008,Event Commissioner, Character ID:2
[07-29 16:50:44]2009,Hairdo 1, Character ID:2
[07-29 16:50:44]2010,Hairdo 1, Character ID:2
[07-29 16:50:44]2011,Hairdo 1, Character ID:2
[07-29 16:50:44]2012,Hairdo 1, Character ID:2
[07-29 16:50:44]2013,Hairdo 1, Character ID:2
[07-29 16:50:44]2014,Hairdo 1, Character ID:2
[07-29 16:50:44]2015,Hairdo 2, Character ID:2
[07-29 16:50:44]2016,Hairdo 2, Character ID:2
[07-29 16:50:44]2017,Hairdo 2, Character ID:2
[07-29 16:50:44]2018,Hairdo 2, Character ID:2
[07-29 16:50:44]2019,Hairdo 2, Character ID:2
[07-29 16:50:44]2020,Hairdo 2, Character ID:2
[07-29 16:50:44]2021,Hairdo 3, Character ID:2
[07-29 16:50:44]2022,Hairdo 3, Character ID:2
[07-29 16:50:44]2023,Hairdo 3, Character ID:2
[07-29 16:50:44]2024,Hairdo 3, Character ID:2
[07-29 16:50:44]2025,Hairdo 3, Character ID:2
[07-29 16:50:44]2026,Hairdo 3, Character ID:2
[07-29 16:50:44]2027,Hairdo 4, Character ID:2
[07-29 16:50:44]2028,Hairdo 4, Character ID:2
[07-29 16:50:44]2029,Hairdo 4, Character ID:2
[07-29 16:50:44]2030,Hairdo 4, Character ID:2
[07-29 16:50:44]2031,Hairdo 4, Character ID:2
[07-29 16:50:44]2032,Hairdo 4, Character ID:2
[07-29 16:50:44]2033,Hairdo 5, Character ID:2
[07-29 16:50:44]2034,Hairdo 5, Character ID:2
[07-29 16:50:44]2035,Hairdo 5, Character ID:2
[07-29 16:50:44]2036,Hairdo 5, Character ID:2
[07-29 16:50:44]2037,Hairdo 5, Character ID:2
[07-29 16:50:44]2038,Hairdo 5, Character ID:2
[07-29 16:50:44]2039,Hairdo 5, Character ID:2
[07-29 16:50:44]2040,Hairdo 6, Character ID:2
[07-29 16:50:44]2041,Hairdo 6, Character ID:2
[07-29 16:50:44]2042,Hairdo 6, Character ID:2
[07-29 16:50:44]2043,Hairdo 6, Character ID:2
[07-29 16:50:44]2044,Hairdo 6, Character ID:2
[07-29 16:50:44]2045,Hairdo 6, Character ID:2
[07-29 16:50:44]2046,Hairdo 6, Character ID:2
[07-29 16:50:44]2047,Hairdo 7, Character ID:2
[07-29 16:50:44]2048,Hairdo 7, Character ID:2
[07-29 16:50:44]2049,Hairdo 7, Character ID:2
[07-29 16:50:44]2050,Hairdo 7, Character ID:2
[07-29 16:50:44]2051,Hairdo 7, Character ID:2
[07-29 16:50:44]2052,Hairdo 7, Character ID:2
[07-29 16:50:44]2053,Hairdo 7, Character ID:2
[07-29 16:50:44]2054,Hairdo 8, Character ID:2
[07-29 16:50:44]2055,Hairdo 8, Character ID:2
[07-29 16:50:44]2056,Hairdo 8, Character ID:2
[07-29 16:50:44]2057,Hairdo 8, Character ID:2
[07-29 16:50:44]2058,Hairdo 8, Character ID:2
[07-29 16:50:44]2059,Hairdo 8, Character ID:2
[07-29 16:50:44]2060,Guy 1 Bald Hairdo, Character ID:2
[07-29 16:50:44]2061,Lance Failed Hairdo 2, Character ID:2
[07-29 16:50:44]2062,Hairdo 1, Character ID:1
[07-29 16:50:44]2063,Hairdo 2, Character ID:1
[07-29 16:50:44]2064,Hairdo 3, Character ID:1
[07-29 16:50:44]2065,Hairdo 4, Character ID:1
[07-29 16:50:44]2066,Hairdo 5, Character ID:1
[07-29 16:50:44]2067,Hairdo 6, Character ID:1
[07-29 16:50:44]2068,Hairdo 7, Character ID:1
[07-29 16:50:44]2069,Hairdo 8, Character ID:1
[07-29 16:50:44]2070,Event Commissioner, Character ID:1
[07-29 16:50:44]2071,Hairdo 1, Character ID:1
[07-29 16:50:44]2072,Hairdo 1, Character ID:1
[07-29 16:50:44]2073,Hairdo 1, Character ID:1
[07-29 16:50:44]2074,Hairdo 1, Character ID:1
[07-29 16:50:44]2075,Hairdo 1, Character ID:1
[07-29 16:50:44]2076,Hairdo 1, Character ID:1
[07-29 16:50:44]2077,Hairdo 1, Character ID:1
[07-29 16:50:44]2078,Hairdo 2, Character ID:1
[07-29 16:50:44]2079,Hairdo 2, Character ID:1
[07-29 16:50:44]2080,Hairdo 2, Character ID:1
[07-29 16:50:44]2081,Hairdo 2, Character ID:1
[07-29 16:50:44]2082,Hairdo 2, Character ID:1
[07-29 16:50:44]2083,Hairdo 2, Character ID:1
[07-29 16:50:44]2084,Hairdo 3, Character ID:1
[07-29 16:50:44]2085,Hairdo 3, Character ID:1
[07-29 16:50:44]2086,Hairdo 3, Character ID:1
[07-29 16:50:44]2087,Hairdo 3, Character ID:1
[07-29 16:50:44]2088,Hairdo 3, Character ID:1
[07-29 16:50:44]2089,Hairdo 3, Character ID:1
[07-29 16:50:44]2090,Hairdo 4, Character ID:1
[07-29 16:50:44]2091,Hairdo 4, Character ID:1
[07-29 16:50:44]2092,Hairdo 4, Character ID:1
[07-29 16:50:44]2093,Hairdo 4, Character ID:1
[07-29 16:50:44]2094,Hairdo 4, Character ID:1
[07-29 16:50:44]2095,Hairdo 4, Character ID:1
[07-29 16:50:44]2096,Hairdo 4, Character ID:1
[07-29 16:50:44]2097,Hairdo 5, Character ID:1
[07-29 16:50:44]2098,Hairdo 5, Character ID:1
[07-29 16:50:44]2099,Hairdo 5, Character ID:1
[07-29 16:50:44]2100,Hairdo 5, Character ID:1
[07-29 16:50:44]2101,Hairdo 6, Character ID:1
[07-29 16:50:44]2102,Hairdo 6, Character ID:1
[07-29 16:50:44]2103,Hairdo 6, Character ID:1
[07-29 16:50:44]2104,Hairdo 6, Character ID:1
[07-29 16:50:44]2105,Hairdo 6, Character ID:1
[07-29 16:50:44]2106,Hairdo 6, Character ID:1
[07-29 16:50:44]2107,Hairdo 6, Character ID:1
[07-29 16:50:44]2108,Hairdo 7, Character ID:1
[07-29 16:50:44]2109,Hairdo 7, Character ID:1
[07-29 16:50:44]2110,Hairdo 7, Character ID:1
[07-29 16:50:44]2111,Hairdo 7, Character ID:1
[07-29 16:50:44]2112,Hairdo 7, Character ID:1
[07-29 16:50:44]2113,Hairdo 7, Character ID:1
[07-29 16:50:44]2114,Hairdo 8, Character ID:1
[07-29 16:50:44]2115,Hairdo 8, Character ID:1
[07-29 16:50:44]2116,Hairdo 8, Character ID:1
[07-29 16:50:44]2117,Hairdo 8, Character ID:1
[07-29 16:50:44]2118,Hairdo 8, Character ID:1
[07-29 16:50:44]2119,Hairdo 8, Character ID:1
[07-29 16:50:44]2120,Hairdo 8, Character ID:1
[07-29 16:50:44]2121,Carsise Failed Hairdo 1, Character ID:1
[07-29 16:50:44]2122,Guy 2 Bald Hairdo, Character ID:1
[07-29 16:50:44]2123,Carsise Failed Hairdo 2, Character ID:1
[07-29 16:50:44]2124,Hairdo 1, Character ID:1
[07-29 16:50:44]2125,Hairdo 2, Character ID:1
[07-29 16:50:44]2126,Hairdo 3, Character ID:1
[07-29 16:50:44]2127,Hairdo 4, Character ID:1
[07-29 16:50:44]2128,Hairdo 5, Character ID:1
[07-29 16:50:44]2129,Hairdo 6, Character ID:1
[07-29 16:50:44]2130,Hairdo 7, Character ID:1
[07-29 16:50:44]2131,Hairdo 8, Character ID:1
[07-29 16:50:44]2132,Event Commissioner, Character ID:1
[07-29 16:50:44]2133,Hairdo 1, Character ID:1
[07-29 16:50:44]2134,Hairdo 1, Character ID:1
[07-29 16:50:44]2135,Hairdo 1, Character ID:1
[07-29 16:50:44]2136,Hairdo 1, Character ID:1
[07-29 16:50:44]2137,Hairdo 1, Character ID:1
[07-29 16:50:44]2138,Hairdo 1, Character ID:1
[07-29 16:50:44]2139,Hairdo 1, Character ID:1
[07-29 16:50:44]2140,Hairdo 2, Character ID:1
[07-29 16:50:44]2141,Hairdo 2, Character ID:1
[07-29 16:50:44]2142,Hairdo 2, Character ID:1
[07-29 16:50:44]2143,Hairdo 2, Character ID:1
[07-29 16:50:44]2144,Hairdo 2, Character ID:1
[07-29 16:50:44]2145,Hairdo 2, Character ID:1
[07-29 16:50:44]2146,Hairdo 3, Character ID:1
[07-29 16:50:44]2147,Hairdo 3, Character ID:1
[07-29 16:50:44]2148,Hairdo 3, Character ID:1
[07-29 16:50:44]2149,Hairdo 3, Character ID:1
[07-29 16:50:44]2150,Hairdo 3, Character ID:1
[07-29 16:50:44]2151,Hairdo 3, Character ID:1
[07-29 16:50:44]2152,Hairdo 4, Character ID:1
[07-29 16:50:44]2153,Hairdo 4, Character ID:1
[07-29 16:50:44]2154,Hairdo 4, Character ID:1
[07-29 16:50:44]2155,Hairdo 4, Character ID:1
[07-29 16:50:44]2156,Hairdo 4, Character ID:1
[07-29 16:50:44]2157,Hairdo 4, Character ID:1
[07-29 16:50:44]2158,Hairdo 5, Character ID:1
[07-29 16:50:44]2159,Hairdo 5, Character ID:1
[07-29 16:50:44]2160,Hairdo 5, Character ID:1
[07-29 16:50:44]2161,Hairdo 5, Character ID:1
[07-29 16:50:44]2162,Hairdo 5, Character ID:1
[07-29 16:50:44]2163,Hairdo 5, Character ID:1
[07-29 16:50:44]2164,Hairdo 6, Character ID:1
[07-29 16:50:44]2165,Hairdo 6, Character ID:1
[07-29 16:50:44]2166,Hairdo 6, Character ID:1
[07-29 16:50:44]2167,Hairdo 6, Character ID:1
[07-29 16:50:44]2168,Hairdo 6, Character ID:1
[07-29 16:50:44]2169,Hairdo 6, Character ID:1
[07-29 16:50:44]2170,Hairdo 7, Character ID:1
[07-29 16:50:44]2171,Hairdo 7, Character ID:1
[07-29 16:50:44]2172,Hairdo 7, Character ID:1
[07-29 16:50:44]2173,Hairdo 7, Character ID:1
[07-29 16:50:44]2174,Hairdo 7, Character ID:1
[07-29 16:50:44]2175,Hairdo 7, Character ID:1
[07-29 16:50:44]2176,Hairdo 8, Character ID:1
[07-29 16:50:44]2177,Hairdo 8, Character ID:1
[07-29 16:50:44]2178,Hairdo 8, Character ID:1
[07-29 16:50:44]2179,Hairdo 8, Character ID:1
[07-29 16:50:44]2180,Hairdo 8, Character ID:1
[07-29 16:50:44]2181,Hairdo 8, Character ID:1
[07-29 16:50:44]2182,Phyllis Failed Hairdo 1, Character ID:1
[07-29 16:50:44]2183,Phyllis Failed Hairdo 2, Character ID:1
[07-29 16:50:44]2184,Girl 1 Bald Hairdo, Character ID:1
[07-29 16:50:44]2185,Girl 1 Hair Makeup 01, Character ID:1
[07-29 16:50:44]2186,Girl 2 Hair 00, Character ID:1
[07-29 16:50:44]2187,Crabby Cap, Character ID:1
[07-29 16:50:44]2188,Rooroo Cap, Character ID:1
[07-29 16:50:44]2189,Playful Racoon Cap, Character ID:1
[07-29 16:50:44]2190,Duckling Cap, Character ID:1
[07-29 16:50:44]2191,Big Crab Cap, Character ID:1
[07-29 16:50:44]2192,Lobster Cap, Character ID:1
[07-29 16:50:44]2193,Ducky Cap, Character ID:1
[07-29 16:50:44]2194,Prawn Cap, Character ID:1
[07-29 16:50:44]2195,Pincer Cap, Character ID:1
[07-29 16:50:44]2196,Sheepy Cap, Character ID:1
[07-29 16:50:44]2197,Meowy Cap, Character ID:1
[07-29 16:50:44]2198,Owl Cap, Character ID:1
[07-29 16:50:44]2199,Hopperoo Cap, Character ID:1
[07-29 16:50:44]2200,Clever Otter Cap, Character ID:1
[07-29 16:50:44]2201,Lucky Otter Cap, Character ID:1
[07-29 16:50:44]2202,Mousey Cap, Character ID:1
[07-29 16:50:44]2203,Kitty Cap, Character ID:1
[07-29 16:50:44]2204,Loopy Bunny Cap, Character ID:1
[07-29 16:50:44]2205,Goaty Cap, Character ID:1
[07-29 16:50:44]2206,Deer Cap, Character ID:1
[07-29 16:50:44]2207,Otter Cap, Character ID:1
[07-29 16:50:44]2208,Racoon Cap, Character ID:1
[07-29 16:50:44]2210,Happy Bunny Cap, Character ID:1
[07-29 16:50:44]2211,Night Owl Cap, Character ID:1
[07-29 16:50:44]2212,Kangaroo Cap, Character ID:1
[07-29 16:50:44]2213,Joyful Bunny Cap, Character ID:1
[07-29 16:50:44]2214,Bunny Baby Cap, Character ID:1
[07-29 16:50:44]2215,Lucky Bunny Cap, Character ID:1
[07-29 16:50:44]2217,Event Commissioner, Character ID:1
[07-29 16:50:44]2218,Happy Panda Cap, Character ID:1
[07-29 16:50:44]2219,Mystic Panda Cap, Character ID:1
[07-29 16:50:44]2220,Gold Fish Cap, Character ID:1
[07-29 16:50:44]2221,Fish Fairy Cap, Character ID:1
[07-29 16:50:44]2222,Dragon Cap, Character ID:1
[07-29 16:50:44]2223,Dragon Lord Cap, Character ID:1
[07-29 16:50:44]2246,Girl 2 Bald Hairdo, Character ID:1
[07-29 16:50:44]2247,Hairdo 1, Character ID:1
[07-29 16:50:44]2248,Hairdo 1, Character ID:1
[07-29 16:50:44]2249,Hairdo 1, Character ID:1
[07-29 16:50:44]2250,Hairdo 1, Character ID:1
[07-29 16:50:44]2251,Hairdo 1, Character ID:1
[07-29 16:50:44]2252,Hairdo 1, Character ID:1
[07-29 16:50:44]2253,Hairdo 2, Character ID:1
[07-29 16:50:44]2254,Hairdo 2, Character ID:1
[07-29 16:50:44]2255,Hairdo 2, Character ID:1
[07-29 16:50:44]2256,Hairdo 2, Character ID:1
[07-29 16:50:44]2257,Hairdo 2, Character ID:1
[07-29 16:50:44]2258,Hairdo 2, Character ID:1
[07-29 16:50:44]2259,Hairdo 3, Character ID:1
[07-29 16:50:44]2260,Hairdo 3, Character ID:1
[07-29 16:50:44]2261,Hairdo 3, Character ID:1
[07-29 16:50:44]2262,Hairdo 3, Character ID:1
[07-29 16:50:44]2263,Hairdo 3, Character ID:1
[07-29 16:50:44]2264,Hairdo 3, Character ID:1
[07-29 16:50:44]2265,Hairdo 4, Character ID:1
[07-29 16:50:44]2266,Hairdo 4, Character ID:1
